guest_id,age
G000001,20.0
G000002,38.0
G000003,32.0
G000004,78.0
G000005,46.0
G000006,56.0
G000007,46.0
G000008,50.0
G000009,35.0
G000010,55.0
G000011,41.0
G000012,39.0
G000013,18.0
G000014,51.0
G000015,55.0
G000016,31.0
G000017,64.0
G000018,54.0
G000019,70.0
G000020,62.0
G000021,18.0
G000022,18.0
G000023,63.0
G000024,47.0
G000025,33.0
G000026,70.0
G000027,23.0
G000028,45.0
G000029,55.0
G000030,54.0
G000031,43.0
G000032,74.0
G000033,40.0
G000034,33.0
G000035,22.0
G000036,57.0
G000037,30.0
G000038,46.0
G000039,49.0
G000040,59.0
G000041,54.0
G000042,45.0
G000043,43.0
G000044,32.0
G000045,43.0
G000046,44.0
G000047,44.0
G000048,56.0
G000049,51.0
G000050,30.0
G000051,61.0
G000052,51.0
G000053,53.0
G000054,
G000055,31.0
G000056,54.0
G000057,25.0
G000058,53.0
G000059,74.0
G000060,46.0
G000061,54.0
G000062,50.0
G000063,55.0
G000064,18.0
G000065,41.0
G000066,55.0
G000067,
G000068,46.0
G000069,50.0
G000070,49.0
G000071,52.0
G000072,62.0
G000073,52.0
G000074,31.0
G000075,46.0
G000076,21.0
G000077,35.0
G000078,23.0
G000079,73.0
G000080,33.0
G000081,42.0
G000082,57.0
G000083,39.0
G000084,59.0
G000085,28.0
G000086,56.0
G000087,62.0
G000088,60.0
G000089,54.0
G000090,57.0
G000091,37.0
G000092,58.0
G000093,46.0
G000094,52.0
G000095,52.0
G000096,44.0
G000097,47.0
G000098,39.0
G000099,44.0
G000100,30.0
G000101,34.0
G000102,48.0
G000103,60.0
G000104,60.0
G000105,34.0
G000106,40.0
G000107,71.0
G000108,36.0
G000109,28.0
G000110,47.0
G000111,55.0
G000112,41.0
G000113,38.0
G000114,42.0
G000115,48.0
G000116,47.0
G000117,44.0
G000118,40.0
G000119,46.0
G000120,59.0
G000121,43.0
G000122,47.0
G000123,52.0
G000124,58.0
G000125,64.0
G000126,27.0
G000127,42.0
G000128,50.0
G000129,43.0
G000130,34.0
G000131,56.0
G000132,48.0
G000133,34.0
G000134,71.0
G000135,55.0
G000136,39.0
G000137,73.0
G000138,60.0
G000139,55.0
G000140,53.0
G000141,47.0
G000142,52.0
G000143,68.0
G000144,40.0
G000145,57.0
G000146,51.0
G000147,37.0
G000148,58.0
G000149,18.0
G000150,24.0
G000151,54.0
G000152,22.0
G000153,33.0
G000154,54.0
G000155,28.0
G000156,47.0
G000157,27.0
G000158,46.0
G000159,52.0
G000160,58.0
G000161,53.0
G000162,52.0
G000163,37.0
G000164,80.0
G000165,45.0
G000166,64.0
G000167,59.0
G000168,51.0
G000169,28.0
G000170,61.0
G000171,
G000172,43.0
G000173,43.0
G000174,57.0
G000175,53.0
G000176,52.0
G000177,53.0
G000178,48.0
G000179,69.0
G000180,20.0
G000181,53.0
G000182,
G000183,24.0
G000184,44.0
G000185,39.0
G000186,38.0
G000187,49.0
G000188,
G000189,33.0
G000190,34.0
G000191,53.0
G000192,
G000193,47.0
G000194,33.0
G000195,45.0
G000196,36.0
G000197,39.0
G000198,75.0
G000199,44.0
G000200,70.0
G000201,36.0
G000202,38.0
G000203,49.0
G000204,39.0
G000205,29.0
G000206,18.0
G000207,41.0
G000208,52.0
G000209,60.0
G000210,43.0
G000211,59.0
G000212,57.0
G000213,
G000214,22.0
G000215,30.0
G000216,18.0
G000217,44.0
G000218,36.0
G000219,67.0
G000220,49.0
G000221,40.0
G000222,38.0
G000223,58.0
G000224,51.0
G000225,55.0
G000226,34.0
G000227,45.0
G000228,45.0
G000229,43.0
G000230,47.0
G000231,75.0
G000232,36.0
G000233,68.0
G000234,48.0
G000235,41.0
G000236,44.0
G000237,59.0
G000238,36.0
G000239,37.0
G000240,32.0
G000241,51.0
G000242,75.0
G000243,43.0
G000244,48.0
G000245,18.0
G000246,47.0
G000247,53.0
G000248,55.0
G000249,39.0
G000250,45.0
G000251,54.0
G000252,47.0
G000253,39.0
G000254,53.0
G000255,54.0
G000256,35.0
G000257,40.0
G000258,41.0
G000259,36.0
G000260,37.0
G000261,21.0
G000262,31.0
G000263,56.0
G000264,38.0
G000265,42.0
G000266,69.0
G000267,43.0
G000268,62.0
G000269,60.0
G000270,37.0
G000271,36.0
G000272,39.0
G000273,52.0
G000274,20.0
G000275,53.0
G000276,44.0
G000277,58.0
G000278,30.0
G000279,39.0
G000280,28.0
G000281,63.0
G000282,36.0
G000283,51.0
G000284,60.0
G000285,64.0
G000286,69.0
G000287,46.0
G000288,55.0
G000289,34.0
G000290,55.0
G000291,
G000292,52.0
G000293,21.0
G000294,60.0
G000295,45.0
G000296,56.0
G000297,27.0
G000298,61.0
G000299,58.0
G000300,52.0
G000301,60.0
G000302,50.0
G000303,34.0
G000304,45.0
G000305,34.0
G000306,61.0
G000307,45.0
G000308,54.0
G000309,47.0
G000310,55.0
G000311,
G000312,51.0
G000313,32.0
G000314,33.0
G000315,45.0
G000316,29.0
G000317,39.0
G000318,45.0
G000319,65.0
G000320,49.0
G000321,36.0
G000322,25.0
G000323,53.0
G000324,49.0
G000325,36.0
G000326,39.0
G000327,18.0
G000328,53.0
G000329,27.0
G000330,47.0
G000331,37.0
G000332,33.0
G000333,36.0
G000334,62.0
G000335,26.0
G000336,72.0
G000337,43.0
G000338,42.0
G000339,45.0
G000340,49.0
G000341,40.0
G000342,55.0
G000343,60.0
G000344,47.0
G000345,51.0
G000346,46.0
G000347,62.0
G000348,64.0
G000349,71.0
G000350,52.0
G000351,36.0
G000352,47.0
G000353,54.0
G000354,33.0
G000355,66.0
G000356,51.0
G000357,30.0
G000358,54.0
G000359,69.0
G000360,40.0
G000361,59.0
G000362,74.0
G000363,42.0
G000364,25.0
G000365,18.0
G000366,33.0
G000367,60.0
G000368,42.0
G000369,62.0
G000370,46.0
G000371,47.0
G000372,52.0
G000373,33.0
G000374,47.0
G000375,39.0
G000376,43.0
G000377,45.0
G000378,60.0
G000379,56.0
G000380,63.0
G000381,26.0
G000382,31.0
G000383,36.0
G000384,45.0
G000385,30.0
