date,location,temp_max_c,precip_mm
2015-06-01,Lisbon,27.0,0.0
2015-06-02,Lisbon,24.7,9.8
2015-06-03,Lisbon,25.8,0.0
2015-06-04,Lisbon,29.2,0.0
2015-06-05,Lisbon,29.2,0.0
2015-06-06,Lisbon,23.4,5.6
2015-06-07,Lisbon,27.7,0.0
2015-06-08,Lisbon,31.2,0.0
2015-06-09,Lisbon,31.7,0.0
2015-06-10,Lisbon,26.2,0.0
2015-06-11,lisbon,24.4,0.0
2015-06-12,Lisbon,28.9,0.0
2015-06-13,Lisbon,29.3,0.0
2015-06-14,Lisbon,26.8,0.0
2015-06-15,Lisbon,27.6,0.0
2015-06-16,Lisbon,30.0,3.7
17/06/2015,Lisbon,27.1,0.0
2015-06-18,Lisbon,29.1,0.0
2015-06-19,Lisbon,28.4,0.0
2015-06-20,Lisbon,33.4,0.0
2015-06-21,Lisbon,26.1,0.0
22/06/2015,lisbon,30.6,0.0
2015-06-23,Lisbon,29.5,0.0
2015-06-24,Lisbon,24.2,0.0
2015-06-25,Lisbon,26.3,0.0
2015-06-26,Lisbon,24.9,0.0
2015-06-27,Lisbon,26.0,4.5
2015-06-28,Lisbon,29.4,0.0
2015-06-29,Lisbon,28.4,0.0
30/06/2015,Lisbon,28.8,0.0
2015-07-01,Lisbon,28.8,0.0
2015-07-02,Lisbon,29.0,10.5
2015-07-03,Lisbon,27.5,0.0
2015-07-04,Lisbon,29.7,0.0
05/07/2015,LISBON ,27.1,0.0
2015-07-06,Lisbon,26.8,0.0
07/07/2015,Lisbon,29.2,0.0
2015-07-08,Lisbon,27.5,0.0
2015-07-09,Lisbon,24.0,0.0
2015-07-10,Lisbon,30.2,0.0
2015-07-11,Lisbon,28.3,0.0
2015-07-12,Lisbon,29.3,0.0
2015-07-13,Lisbon,28.4,0.0
14/07/2015,Lisbon,27.2,0.0
2015-07-15,Lisbon,29.8,0.0
2015-07-16,Lisbon,30.7,0.0
2015-07-17,Lisbon,28.4,1.0
2015-07-18,Lisbon,26.4,0.0
2015-07-19,Lisbon,29.6,0.0
2015-07-20,Lisbon,28.2,0.0
2015-07-21,Lisbon,29.3,0.0
2015-07-22,Lisbon,32.3,0.0
2015-07-23,Lisbon,30.2,0.0
2015-07-24,Lisbon,29.4,0.0
2015-07-25,Lisbon,28.7,0.0
2015-07-26,Lisbon,29.6,0.0
27/07/2015,Lisbon,26.8,0.0
2015-07-28,Lisbon,27.3,0.0
2015-07-29,Lisbon,28.0,0.0
2015-07-30,Lisbon,24.5,0.0
2015-07-31,Lisbon,31.9,0.0
2015-08-01,Lisbon,31.8,0.0
2015-08-02,Lisbon,26.6,0.0
2015-08-03,Lisbon,26.5,0.0
2015-08-04,Lisbon,25.3,0.0
2015-08-05,Lisbon,27.6,0.0
2015-08-06,Lisbon,27.0,0.0
2015-08-07,Lisbon,29.0,0.0
2015-08-08,Lisbon,29.4,0.0
2015-08-09,Lisbon,27.3,0.0
2015-08-10,Lisbon,29.4,0.0
2015-08-11,Lisbon,28.0,0.0
2015-08-12,Lisbon,28.2,0.0
2015-08-13,Lisbon,27.7,0.0
2015-08-14,Lisbon,26.6,10.3
2015-08-15,Lisbon,24.6,0.0
16/08/2015,Lisbon,23.3,0.0
2015-08-17,Lisbon,23.7,0.0
2015-08-18,Lisbon,23.8,0.4
2015-08-19,Lisbon,28.9,0.0
2015-08-20,Lisbon,26.7,0.0
2015-08-21,lisbon,25.0,0.0
2015-08-22,Lisbon,28.0,0.0
23/08/2015,Lisbon,31.3,0.0
2015-08-24,Lisbon,27.3,0.0
2015-08-25,Lisbon,24.6,0.0
2015-08-26,Lisbon,26.3,0.0
2015-08-27,Lisbon,29.4,0.0
2015-08-28,Lisbon,24.0,16.2
2015-08-29,Lisbon,28.3,0.0
2015-08-30,Lisbon,24.1,0.0
2015-08-31,Lisbon,27.0,0.0
2015-09-01,Lisbon,21.4,0.0
02/09/2015,Lisbon,26.1,0.0
2015-09-03,Lisbon,26.9,0.0
2015-09-04,Lisbon,27.7,3.3
2015-09-05,Lisbon,25.7,0.0
2015-09-06,Lisbon,24.1,0.0
2015-09-07,Lisbon,22.7,0.0
2015-09-08,Lisbon,22.8,0.0
2015-09-09,Lisbon,24.3,0.0
2015-09-10,Lisbon,23.3,0.0
2015-09-11,LISBON ,26.5,0.0
2015-09-12,Lisbon,24.6,0.0
13/09/2015,Lisbon,26.2,0.0
2015-09-14,Lisbon,26.0,0.0
15/09/2015,Lisbon,29.3,0.0
2015-09-16,Lisbon,24.0,0.0
2015-09-17,Lisbon,26.5,0.0
2015-09-18,Lisbon,24.7,0.0
2015-09-19,Lisbon,24.0,9.6
2015-09-20,Lisbon,24.2,0.0
2015-09-21,Lisbon,26.9,0.0
2015-09-22,Lisbon,22.7,0.0
23/09/2015,Lisbon,23.0,5.6
2015-09-24,Lisbon,22.7,0.0
2015-09-25,Lisbon,23.5,0.0
2015-09-26,Lisbon,18.8,0.0
2015-09-27,Lisbon,17.9,0.0
2015-09-28,Lisbon,21.3,0.0
29/09/2015,Lisbon,23.2,0.0
2015-09-30,Lisbon,22.9,0.0
2015-10-01,Lisbon,26.2,0.0
2015-10-02,Lisbon,23.6,0.0
2015-10-03,Lisbon,21.0,0.0
2015-10-04,Lisbon,24.5,5.0
2015-10-05,Lisbon,24.8,0.0
2015-10-06,Lisbon,22.7,0.0
07/10/2015,Lisbon,22.3,0.0
2015-10-08,Lisbon,22.3,1.3
2015-10-09,LISBON ,22.7,0.0
2015-10-10,Lisbon,23.1,0.0
2015-10-11,Lisbon,21.7,0.0
2015-10-12,Lisbon,24.2,0.0
2015-10-13,Lisbon,21.6,0.0
2015-10-14,Lisbon,24.0,0.6
2015-10-15,Lisbon,20.9,0.0
16/10/2015,Lisbon,25.5,0.0
2015-10-17,Lisbon,20.9,0.0
2015-10-18,Lisbon,20.5,0.0
2015-10-19,Lisbon,17.5,4.7
20/10/2015,Lisbon,19.8,0.0
2015-10-21,Lisbon,16.9,9.2
2015-10-22,Lisbon,24.5,0.0
2015-10-23,LISBON ,19.3,0.0
2015-10-24,Lisbon,20.5,0.0
2015-10-25,Lisbon,18.4,0.0
2015-10-26,Lisbon,20.7,0.0
2015-10-27,Lisbon,20.1,0.0
2015-10-28,Lisbon,19.5,0.0
2015-10-29,Lisbon,23.2,0.0
30/10/2015,Lisbon,19.5,0.0
2015-10-31,Lisbon,21.3,0.0
01/11/2015,Lisbon,20.7,0.0
2015-11-02,Lisbon,16.0,0.0
2015-11-03,Lisbon,20.6,0.0
2015-11-04,Lisbon,18.8,0.0
2015-11-05,Lisbon,20.4,5.7
2015-11-06,Lisbon,20.9,0.0
2015-11-07,Lisbon,20.5,6.9
2015-11-08,Lisbon,19.9,0.0
09/11/2015,Lisbon,19.5,0.0
2015-11-10,Lisbon,18.0,0.0
2015-11-11,Lisbon,17.5,0.0
2015-11-12,Lisbon,15.9,4.4
2015-11-13,Lisbon,18.1,0.0
2015-11-14,Lisbon,18.7,0.0
2015-11-15,Lisbon,18.2,0.0
2015-11-16,LISBON ,17.5,5.9
17/11/2015,Lisbon,21.0,0.0
2015-11-18,Lisbon,15.8,0.0
2015-11-19,Lisbon,17.4,0.0
2015-11-20,Lisbon,18.9,2.3
2015-11-21,Lisbon,18.1,0.0
2015-11-22,Lisbon,16.0,3.1
2015-11-23,Lisbon,17.2,0.0
2015-11-24,Lisbon,20.5,2.5
2015-11-25,Lisbon,21.3,0.0
2015-11-26,lisbon,15.1,0.0
2015-11-27,Lisbon,15.9,0.0
2015-11-28,Lisbon,13.6,0.0
2015-11-29,Lisbon,20.3,0.0
30/11/2015,Lisbon,16.8,0.0
2015-12-01,Lisbon,16.5,0.0
2015-12-02,Lisbon,15.2,0.0
2015-12-03,Lisbon,15.6,4.7
2015-12-04,Lisbon,15.4,6.6
2015-12-05,Lisbon,16.8,0.0
06/12/2015,Lisbon,12.7,0.0
07/12/2015,Lisbon,17.8,0.0
2015-12-08,Lisbon,16.4,2.4
2015-12-09,Lisbon,17.9,3.9
2015-12-10,Lisbon,18.3,0.0
11/12/2015,Lisbon,15.1,0.0
2015-12-12,Lisbon,10.9,0.0
2015-12-13,Lisbon,14.9,0.0
14/12/2015,Lisbon,12.1,0.0
15/12/2015,Lisbon,9.8,15.5
2015-12-16,Lisbon,16.7,7.9
2015-12-17,Lisbon,15.7,0.0
2015-12-18,Lisbon,14.6,0.0
2015-12-19,Lisbon,15.3,0.0
2015-12-20,Lisbon,11.0,0.0
21/12/2015,Lisbon,12.2,0.0
2015-12-22,Lisbon,16.4,0.0
2015-12-23,Lisbon,14.9,0.0
2015-12-24,Lisbon,9.3,0.0
2015-12-25,Lisbon,13.0,0.0
2015-12-26,Lisbon,17.0,9.6
2015-12-27,Lisbon,10.7,0.0
2015-12-28,Lisbon,11.4,0.0
2015-12-29,Lisbon,16.2,0.0
2015-12-30,Lisbon,12.3,0.0
2015-12-31,Lisbon,13.4,2.8
2016-01-01,Lisbon,10.6,9.9
2016-01-02,Lisbon,13.1,3.6
2016-01-03,Lisbon,13.2,0.0
2016-01-04,Lisbon,16.8,0.0
2016-01-05,Lisbon,16.7,0.0
2016-01-06,Lisbon,15.6,0.0
2016-01-07,LISBON ,14.0,6.1
08/01/2016,Lisbon,10.1,0.0
2016-01-09,LISBON ,12.7,0.0
2016-01-10,Lisbon,15.1,0.0
11/01/2016,Lisbon,17.0,0.0
2016-01-12,Lisbon,15.0,0.9
2016-01-13,Lisbon,10.7,0.0
2016-01-14,Lisbon,12.8,0.0
2016-01-15,Lisbon,11.3,3.4
2016-01-16,Lisbon,10.6,0.0
2016-01-17,Lisbon,9.8,0.0
2016-01-18,LISBON ,13.9,0.0
2016-01-19,Lisbon,10.9,0.0
2016-01-20,Lisbon,15.6,0.0
2016-01-21,Lisbon,14.7,3.8
22/01/2016,Lisbon,11.1,0.0
23/01/2016,Lisbon,13.2,0.0
2016-01-24,Lisbon,16.1,2.5
2016-01-25,Lisbon,11.7,5.6
2016-01-26,Lisbon,14.5,5.5
2016-01-27,lisbon,14.0,0.0
2016-01-28,lisbon,15.1,2.1
2016-01-29,Lisbon,11.0,0.0
2016-01-30,Lisbon,14.9,0.0
2016-01-31,Lisbon,14.3,0.0
2016-02-01,Lisbon,15.0,4.3
2016-02-03,Lisbon,11.2,0.0
2016-02-04,Lisbon,16.6,0.0
05/02/2016,Lisbon,11.8,0.0
2016-02-06,Lisbon,12.9,0.0
2016-02-07,Lisbon,11.6,0.0
2016-02-08,Lisbon,17.1,0.0
2016-02-09,Lisbon,14.6,0.3
2016-02-10,Lisbon,12.6,3.3
2016-02-11,Lisbon,14.9,0.0
2016-02-12,Lisbon,11.4,0.0
2016-02-13,Lisbon,11.4,5.4
2016-02-14,Lisbon,18.8,0.0
2016-02-15,Lisbon,15.9,0.0
2016-02-16,Lisbon,16.3,0.0
2016-02-17,Lisbon,14.3,0.0
18/02/2016,Lisbon,14.6,0.0
2016-02-19,Lisbon,10.5,2.9
2016-02-20,Lisbon,12.7,0.0
2016-02-21,lisbon,16.6,0.0
22/02/2016,Lisbon,16.4,0.0
2016-02-23,Lisbon,13.7,0.0
2016-02-24,Lisbon,15.4,1.4
2016-02-25,Lisbon,16.2,0.0
2016-02-26,Lisbon,15.4,0.0
2016-02-27,Lisbon,15.1,0.0
2016-02-28,Lisbon,16.4,0.0
2016-02-29,Lisbon,14.7,0.0
2016-03-01,Lisbon,15.6,0.0
2016-03-02,Lisbon,19.3,0.0
2016-03-03,Lisbon,15.0,0.0
2016-03-04,Lisbon,16.8,6.7
2016-03-05,Lisbon,14.2,0.0
2016-03-06,Lisbon,17.0,0.0
2016-03-07,Lisbon,15.4,4.5
2016-03-08,Lisbon,15.0,0.0
09/03/2016,Lisbon,18.1,0.0
2016-03-10,Lisbon,14.1,0.0
2016-03-11,Lisbon,18.0,0.0
2016-03-12,Lisbon,15.1,0.0
2016-03-13,Lisbon,15.7,0.0
2016-03-14,Lisbon,17.9,0.0
2016-03-15,Lisbon,20.4,0.0
16/03/2016,Lisbon,18.9,0.0
2016-03-17,Lisbon,19.9,0.0
2016-03-18,Lisbon,16.9,0.0
2016-03-19,Lisbon,19.8,0.0
2016-03-20,Lisbon,16.7,0.0
2016-03-21,Lisbon,14.7,0.0
2016-03-22,Lisbon,19.2,0.0
2016-03-23,Lisbon,17.8,2.4
2016-03-24,Lisbon,19.8,7.6
2016-03-25,Lisbon,19.0,6.0
2016-03-26,Lisbon,24.5,4.2
2016-03-27,Lisbon,16.0,12.4
2016-03-28,Lisbon,22.6,0.0
2016-03-29,Lisbon,19.4,0.0
2016-03-30,Lisbon,19.4,0.0
2016-03-31,Lisbon,20.2,0.0
2016-04-01,Lisbon,19.1,0.0
2016-04-02,Lisbon,16.1,0.0
2016-04-03,Lisbon,16.5,0.0
04/04/2016,Lisbon,21.3,0.0
2016-04-06,Lisbon,18.8,0.0
2016-04-07,Lisbon,22.9,0.0
2016-04-08,Lisbon,21.6,0.0
2016-04-09,Lisbon,20.8,0.0
2016-04-10,Lisbon,25.3,1.8
2016-04-12,Lisbon,20.7,0.0
13/04/2016,Lisbon,21.7,0.0
2016-04-14,LISBON ,22.9,3.7
2016-04-15,Lisbon,24.1,0.0
2016-04-16,Lisbon,19.5,0.0
2016-04-17,Lisbon,21.6,0.0
2016-04-18,Lisbon,22.5,0.0
2016-04-19,Lisbon,21.5,0.0
2016-04-20,Lisbon,24.2,2.5
2016-04-21,Lisbon,23.0,0.0
2016-04-23,Lisbon,22.7,0.0
24/04/2016,Lisbon,22.7,0.0
2016-04-25,Lisbon,20.2,3.5
26/04/2016,Lisbon,20.7,0.0
2016-04-27,Lisbon,25.1,0.0
2016-04-28,Lisbon,21.7,0.0
29/04/2016,Lisbon,24.6,0.0
2016-04-30,Lisbon,27.3,0.0
2016-05-01,Lisbon,26.9,0.0
2016-05-02,Lisbon,22.5,0.0
2016-05-03,Lisbon,22.0,0.0
2016-05-04,Lisbon,22.1,0.0
2016-05-05,Lisbon,27.8,0.0
2016-05-06,Lisbon,26.1,0.0
2016-05-07,Lisbon,22.8,0.0
08/05/2016,Lisbon,23.6,0.0
2016-05-09,Lisbon,26.4,6.7
2016-05-10,Lisbon,19.8,0.0
2016-05-11,Lisbon,23.1,0.0
2016-05-12,Lisbon,24.9,0.0
2016-05-13,Lisbon,27.1,0.0
2016-05-14,Lisbon,27.3,0.0
2016-05-15,Lisbon,24.6,0.0
2016-05-16,lisbon,25.7,3.6
2016-05-17,Lisbon,25.2,0.0
2016-05-18,Lisbon,21.4,0.0
19/05/2016,Lisbon,25.2,0.0
2016-05-20,Lisbon,27.6,0.0
2016-05-21,Lisbon,26.8,0.0
2016-05-22,Lisbon,21.0,0.0
2016-05-23,Lisbon,26.3,0.0
2016-05-24,Lisbon,26.1,0.0
2016-05-25,Lisbon,28.6,5.5
2016-05-26,Lisbon,27.4,0.0
27/05/2016,Lisbon,28.9,0.0
2016-05-28,Lisbon,24.5,4.4
2016-05-29,Lisbon,26.6,0.0
2016-05-30,Lisbon,26.6,0.0
2016-05-31,Lisbon,28.2,0.0
2016-06-01,Lisbon,30.0,0.0
2016-06-02,Lisbon,29.2,0.0
2016-06-03,Lisbon,25.8,0.0
2016-06-04,Lisbon,28.7,0.0
2016-06-05,Lisbon,30.0,0.0
06/06/2016,Lisbon,24.7,0.0
07/06/2016,Lisbon,27.4,4.9
2016-06-08,Lisbon,28.5,0.0
2016-06-09,Lisbon,24.9,0.0
10/06/2016,Lisbon,28.1,0.0
2016-06-11,Lisbon,28.2,0.0
2016-06-12,Lisbon,26.5,0.0
2016-06-13,Lisbon,23.2,0.0
2016-06-14,lisbon,27.1,0.0
2016-06-15,Lisbon,27.2,6.6
2016-06-16,Lisbon,28.8,0.0
2016-06-17,Lisbon,28.2,0.0
18/06/2016,Lisbon,25.3,0.0
2016-06-19,Lisbon,27.8,0.0
